archivo,pdfplumber_tiempo,pdfplumber_load,pdfplumber_fechas,pdfplumber_direcciones,pdfplumber_estructura_semantica,pdfplumber_regex_dificultad,pymupdf_tiempo,pymupdf_load,pymupdf_fechas,pymupdf_direcciones,pymupdf_estructura_semantica,pymupdf_regex_dificultad
1703107734958_CY SC-VA.pdf,1.4570763111114502,30487740,2,4,0,0,2.5417635440826416,30487740,2,4,102,13.350000000000001
1692391437536_CY FL-GA.pdf,0.2661890983581543,29444021,2,4,0,0,0.5829689502716064,29444021,2,4,100,8.05
1691428773382_CY GA-FL.pdf,0.27967405319213867,29630485,2,5,0,0,0.5016982555389404,29630485,2,4,106,7.65
1694462450849_CY FL-SC.pdf,0.3205726146697998,29859750,2,4,0,0,0.47832489013671875,29859750,2,4,100,7.65
1693422011452_CY FL-GA.pdf,1.3798351287841797,29780433,2,5,0,0,2.3917343616485596,29780433,2,4,102,13.15
1693261283912_CY FL-GA.pdf,0.3663003444671631,29670939,2,5,0,0,0.4831247329711914,29670939,2,4,100,7.65
1692626571416_CY GA-FL.pdf,1.3476426601409912,29726492,2,4,0,0,2.333951950073242,29726492,2,4,107,14.100000000000001
1692287731699_CY FL-FL.pdf,0.41580700874328613,29720605,3,6,0,0,0.6297974586486816,29720605,3,5,110,8.6
1704722951491_CY GA-FL.pdf,0.42088770866394043,30604868,2,4,0,0,0.6951231956481934,30604868,2,4,100,9.200000000000001
1695318953443_CY GA-AL.pdf,0.28110361099243164,29941258,2,4,0,0,0.5072178840637207,29941258,2,4,100,7.65
1692207846090_CY GA-FL.pdf,0.44786548614501953,29721174,2,4,0,0,0.673290491104126,29721174,2,4,110,10.100000000000001
1701897642070_CY NC-NC.pdf,0.4141206741333008,30454358,2,5,0,0,0.5274367332458496,30454358,2,4,100,8.25
1694829725073_CY FL-GA.pdf,0.3510899543762207,29402873,2,4,0,0,0.5589196681976318,29402873,2,4,100,8.05
1691512349942_CY GA-FL.pdf,0.3684568405151367,29671154,3,5,0,0,0.6475496292114258,29671154,3,5,110,9.0
1692970286068_CY FL-AL.pdf,0.38440871238708496,29740554,4,6,0,0,0.7248170375823975,29740554,4,6,110,7.800000000000001
